Config,Config_Sensitive,N_Clusters,Noise,DCSI,ARI,NMI,Balance_Gender,Balance_Race,Balance_Marital
cens_gender,gender,5,0.0104,0.44510771904419627,-1,-1,0.6608744177225081,0.5787152525646965,0.2767087846721909
cens_race,race,5,0.0106,0.47934686017314354,-1,-1,0.6901821550695113,0.38544157873178714,0.3747549804121126
cens_marital,marital_status,5,0.0116,0.1367146670508957,-1,-1,0.8223420653724984,0.6183985971246633,0.36790963058094034
cens_gender_race,gender + race,5,0.0102,0.1707750771715099,-1,-1,0.6694844700664033,0.29347646636773095,0.38030056008526925
cens_gender_marital,gender + marital_status,5,0.0102,0.1271009709867843,-1,-1,0.5929964860551638,0.4894210798382228,0.2163849452049924
cens_race_marital,race + marital_status,5,0.0116,0.10540652040290575,-1,-1,0.7953030061459144,0.3035376501796349,0.20111036666308663
cens_intersectional,all 3 attrs,5,0.0094,0.1273228708724139,-1,-1,0.8296472553846381,0.3042348130694613,0.13445156596308752
