,Data,Algorithm,min_pts,DCSI,Balance,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB,N_cluster
0,compas,GroundTruth,20.0,0.0,0.7898868273150492,1.0,1.0,0.0,None,0.022622842426792942,0.042805437112815925,2
1,compas,GroundTruth_DB,20.0,0.987733031145833,0.5382847540535513,0.022622842426792942,0.042805437112815925,0.2506094588005851,None,1.0,1.0,2
2,compas,FairDen,,0.26520316085286183,0.5801668757386671,0.018197673830346657,0.03678950174377154,0.00048756704046806434,None,0.6909742499613176,0.5786292841117965,2
3,compas,FairSC_normalized,,-2.0,-2.0,-2.0,-2.0,-2.0,None,-2.0,-2.0,-2
4,compas,FairSC,,0.0,0.44736333255501726,4.139356885364218e-05,6.861247154276466e-06,0.0,None,-0.08566040489645102,0.06884145603942991,2
