,Data,Algorithm,N_cluster,min_pts,DCSI,Balance,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB
0,adult2,GroundTruth,2,11.0,6.7354248360223666e-06,0.5150765485892573,1.0,1.0,0.0,None,0.01896906559139281,0.02182900706749843
1,adult2,GroundTruth_DB,2,11.0,6.7354248360223666e-06,0.5150765485892573,1.0,1.0,0.0,None,0.01896906559139281,0.02182900706749843
2,adult2,FairDen,2,,0.08795729436261983,0.8343146893959801,0.05313377172778677,0.0161011923510631,0.0005,None,0.011123770299490987,0.0223876438249851
3,adult2,FairSC_normalized,2,,4.306727660807714e-05,0.31875,0.16362989930510816,0.09514884434470504,0.0,None,0.005661726172917353,0.009734572166878187
4,adult2,FairSC,2,,0.00012515544899956092,0.33625,-0.029217447762982608,0.08588836670012884,0.0,None,-0.004552082704307917,0.005392060042502173
5,adult2,FairDen,3,,0.13453476798099043,0.6575688802454597,0.037469210769489454,0.016028994557346875,0.0005,None,0.01196365139624842,0.028609725893551503
6,adult2,FairSC_normalized,3,,0.04504896188130315,0.1895,0.07861030527356286,0.0759903499449508,0.0,None,0.006044226245356215,0.011521350585925032
7,adult2,FairSC,3,,0.05672433467868328,0.18083333333333332,0.05648725135473715,0.08561770939035941,0.0,None,0.0019292342366479507,0.00580165724885484
8,adult2,FairDen,4,,0.13492413416912777,0.35063804235878204,0.048714481816377754,0.02087206244119637,0.0035,None,0.010913903322288811,0.04446531600711122
9,adult2,FairSC_normalized,4,,0.11436437351019821,0.13375,0.053018197572221155,0.0686798782081527,0.0,None,0.004718220822541872,0.010493492860487137
10,adult2,FairSC,4,,0.11228509945752255,0.119375,0.013956965349500694,0.05141590857308233,0.0,None,-0.003285901861756523,0.004406180212146932
11,adult2,FairDen,5,,0.11688404023486815,0.47814028530251906,0.033976304154922594,0.020099522325413392,0.0035,None,0.006362775838689823,0.03464442606296875
12,adult2,FairSC_normalized,5,,0.095946982174399,0.0684,0.030703253947252828,0.06393242702539882,0.0,None,0.0009327394841854314,0.008357402062111784
13,adult2,FairSC,5,,0.23090163414058443,0.09169999999999999,0.006036626384332632,0.04948655667050043,0.0,None,-0.0033640266605200796,0.00436000505418678
14,adult2,FairDen,6,,0.17901716156025932,0.4099966750667221,0.016378681372696952,0.02053868065635392,0.0035,None,0.004522550628628511,0.030219558920111265
15,adult2,FairSC_normalized,6,,0.25188073451779747,0.061,0.008206181492607182,0.043614653456314025,0.0,None,-0.0026575855263750938,0.004956762491901393
16,adult2,FairSC,6,,0.15822031805502912,0.058916666666666666,0.001759373132626907,0.03869863481642818,0.0,None,-0.002564483309188674,0.005005267571168564
17,adult2,FairDen,7,,0.1530097338927565,0.40045369093415534,0.01627654705602353,0.017061269680285568,0.0035,None,0.003989028686099398,0.0280662914037479
18,adult2,FairSC_normalized,7,,0.19905171259350488,0.029714285714285717,0.005418502088938971,0.04004920434399128,0.0,None,-0.0008627031207207531,0.006686068830336656
19,adult2,FairSC,7,,0.16018429148208604,0.05485714285714286,0.005054131755785523,0.051180343710575726,0.0,None,-0.00014025891604799404,0.006747491907020543
20,adult2,FairDen,8,,0.16106113327913488,0.3451873350978393,0.017400094050982428,0.01629970340547664,0.0035,None,0.003268855560196261,0.025987830284650237
21,adult2,FairSC_normalized,8,,0.279140653359721,0.024062499999999997,0.004645928840620861,0.0378681709386749,0.0,None,-0.000900832206503459,0.006589114304006801
22,adult2,FairSC,8,,0.2275066547314457,0.042249999999999996,0.005304813233809835,0.04249799057564927,0.0,None,-0.0027412800116474755,0.004714470461503118
23,adult2,FairDen,9,,0.17960562101149463,0.3519559103855697,0.017472196758484496,0.016802168147996527,0.0035,None,0.003292878609349425,0.02605438842642329
24,adult2,FairSC_normalized,9,,0.3417203090451912,0.02288888888888889,0.0011410947869582788,0.040307079673925605,0.0,None,-0.0012451221090310218,0.006119785291985952
25,adult2,FairSC,9,,0.2512766387421667,0.035444444444444445,0.021967710329491245,0.058480270548501107,0.0,None,0.0005457900171204925,0.007683270934662608
26,adult2,FairDen,10,,0.18788949699406404,0.32336962309270845,0.013045866009091684,0.015066157070673122,0.0035,None,0.002681832875614611,0.02457024023646049
27,adult2,FairSC_normalized,10,,0.3692408859259443,0.0221,-0.00627683944531683,0.037849143812941924,0.0,None,-0.0016672097695225022,0.005662909074055849
28,adult2,FairSC,10,,0.3325041996022404,0.0324,-0.022241039066317983,0.03841777327513718,0.0,None,-0.0029786245976529957,0.004414275174328378
