,Data,Algorithm,min_pts,DCSI,Balance,ARI,NMI,Noise,Categorical,ARI_DB,NMI_DB,N_cluster
0,compas2,GroundTruth,20.0,0.0,"{'race': 0.7838741786261211, 'sex': 0.7970088257343614}",1.0,1.0,0.0,None,0.04351959387469601,0.04388981721331917,2
1,compas2,GroundTruth_DB,20.0,0.9879472129723854,"{'race': 0.5476714801615172, 'sex': 0.6705327344045563}",0.04351959387469601,0.04388981721331917,0.2906749902458057,None,1.0,1.0,12
2,compas2,FairDen,,0.3635397639363245,"{'race': 0.5484247990639989, 'sex': 0.5940263605779038}",0.015625055374051917,0.03388075923435567,0.0003901677721420211,None,0.568363112386509,0.5000843763984265,3
3,compas2,FairSC_normalized,,0.0,"{'race': 0.5629419106182109, 'sex': 0.5765570977750497}",0.8395008886865813,0.8280782316270522,0.0,None,0.06398199164860689,0.09292937846690068,3
4,compas2,FairSC,,0.0,"{'race': 0.5428338764762279, 'sex': 0.6056331524474233}",0.804821981817433,0.7646720965827092,0.0,None,0.046624780717058716,0.08464860375168189,3
5,compas2,FairDen,,0.5769453174028957,"{'race': 0.2270746548761984, 'sex': 0.3465452479225404}",0.011250997405673544,0.031501352152754875,0.0039016777214202106,None,0.2628891202739647,0.44691603619036824,12
6,compas2,FairSC_normalized,,0.08447782806773761,"{'race': 0.050742967794947, 'sex': 0.05664955210946362}",0.13267807669987736,0.32591009274441934,0.0,None,-0.040614207177751376,0.06330710985180878,12
7,compas2,FairSC,,0.07799074304952902,"{'race': 0.06822170275133828, 'sex': 0.1004494310689884}",0.09701080082781073,0.2864047743259404,0.0,None,0.0570018572634778,0.1432492993394585,12
