,Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Balance_Mixed,Cluster_0,Cluster_1,Balances_per_Cluster_gender,Balances_per_Cluster_race,Balances_per_Cluster_marital_status,Balances_per_Cluster_Mixed,Balances_per_Group_per_Cluster_gender,Balances_per_Group_per_Cluster_race,Balances_per_Group_per_Cluster_marital_status,Balances_per_Group_per_Cluster_Mixed,Cluster_-1
0,M,2,GroundTruth,5,0.6050465831438798,0.5112179487179488,0.4430387901576694,0.3495065789473684,507,1482.0,"[0.38412149648104704, 0.8259716698067127]","[0.23076923076923075, 0.7916666666666667]","[0.15742684282010125, 0.7286507374952376]","[0, 0.6990131578947368]","{np.int64(0): [0.38412149648104704, 0.7807086960344676], np.int64(1): [0.8259716698067127, 0.9039069122293287]}","{np.int64(0): [0.23076923076923075, 0.7991452991452991, 0.6468903436988543, 0.7132867132867133, 0.9484339190221543], np.int64(1): [0.7916666666666667, 0.9357045143638851, 0.8922193081054077, 0.9106753812636166, 0.981399834665197]}","{np.int64(0): [0.39230769230769236, 0.5576701268742791, 0.41295546558704455, 0.15742684282010125, 0.41295546558704455, 0.3701015965166909], np.int64(1): [0.8278867102396514, 0.7286507374952376, 0.8327566320645906, 0.7762476227949374, 0.8327566320645905, 0.8227124183006536]}","{np.int64(0): [0.5604395604395604, 0.41295546558704455, 0.2004491858506457, 0, 0.573529411764706, 0.5772779700115341, 0, 0.7132867132867133, 0, 0, 0, 0.106993006993007, 0.30177514792899407, 0.1705685618729097, 0, 0.2942307692307692, 0, 0.6603198781416603, 0.4903846153846155, 0.611764705882353, 0.5319693094629155, 0.7647058823529411, 0.5465153452685422, 0, 0, 0, 0, 0.10323886639676114, 0, 0.24350132625994694, 0.7472527472527473, 0, 0.7647058823529411], np.int64(1): [0.869281045751634, 0.8327566320645906, 0.7852187028657618, 0.7450980392156863, 0.7456140350877193, 0.7494873547505126, 0.7450980392156862, 0.9106753812636166, 0.7450980392156863, 0.7450980392156862, 0.7450980392156863, 0.7659886384460326, 0.8071895424836601, 0.7789661319073085, 0.7450980392156862, 0.8055113937466879, 0.7450980392156863, 0.8958916900093371, 0.8515406162464985, 0.7828947368421053, 0.6990131578947368, 0.894736842105263, 0.7161296778066841, 0.7450980392156862, 0.7450980392156862, 0.7450980392156863, 0.7450980392156863, 0.7652358240593535, 0.7450980392156863, 0.794405997693195, 0.9204152249134948, 0.7450980392156863, 0.894736842105263]}",
1,M,2,DBSCAN,5,0.6984217239102762,0.4925817173978351,0.4922102379729499,0.4183787022770073,1947,,"[0.9975378922649969, 0.3993055555555555]","[0.9851634347956701, 0]","[0.9844204759458998, 0]","[0.8367574045540146, 0]","{np.int64(0): [0.9975378922649969, 0.9988752576180167], np.int64(1): [0.3993055555555555, 0.7850931677018634]}","{np.int64(0): [0.9959079283887466, 0.9851634347956701, 0.9959079283887469, 0.9959079283887469, 0.9999523140879675], np.int64(1): [0, 0.21687979539641944, 0, 0, 0.9885275849470222]}","{np.int64(0): [0.9996519431571256, 0.9998586891242258, 0.9959079283887468, 0.9975220417248711, 0.9858523602745484, 0.9844204759458998], np.int64(1): [0.9152621722846441, 0.9667519181585678, 0, 0.3954288025889968, 0.22506393861892582, 0.20869565217391303]}","{np.int64(0): [0.9959079283887469, 0.9959079283887468, 0.9967257318952233, 0.995907928388747, 0.9959079283887466, 0.9959079283887468, 0.9959079283887466, 0.9959079283887469, 0.9959079283887466, 0.9959079283887466, 0.9959079283887469, 0.9959079283887468, 0.9959079283887469, 0.9959079283887469, 0.9959079283887466, 0.9959079283887468, 0.9959079283887469, 0.9959079283887468, 0.9959079283887466, 0.9622710152371168, 0.9959079283887469, 0.9959079283887469, 0.9997931348714078, 0.9959079283887466, 0.9959079283887466, 0.9959079283887469, 0.9959079283887466, 0.9959079283887468, 0.995907928388747, 0.9993659420289854, 0.9562941766331596, 0.9959079283887469, 0.8367574045540146], np.int64(1): [0, 0, 0.5565217391304348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.09820971867007673, 0, 0, 0.9496437823834197, 0, 0, 0, 0, 0, 0, 0.8455882352941176, 0.08593350383631713, 0, 0.024552429667519183]}",34.0
2,M,2,FairDen_v1,15,0.9423068508512433,0.7871799782247211,0.7620871982554018,0.3295625942684766,1311,678.0,"[0.9616744554063744, 0.9229392462961122]","[0.8681161019754993, 0.7062438544739429]","[0.8015197962091447, 0.7226546003016591]","[0.6591251885369532, 0]","{np.int32(0): [0.9616744554063744, 0.9818240298052407], np.int32(1): [0.9229392462961122, 0.9660477021961035]}","{np.int32(0): [0.8924485125858123, 0.8681161019754993, 0.9757128775192694, 0.9062971342383107, 0.9929073765679849], np.int32(1): [0.8278388278388279, 0.7062438544739429, 0.9518687629448316, 0.8000804505229283, 0.9864710452945747]}","{np.int32(0): [0.9466159622605178, 0.9790169412109926, 0.8783572202818258, 0.9753800295926884, 0.9633368140155469, 0.8015197962091447], np.int32(1): [0.8909537856440511, 0.9610085792558782, 0.8095776772247362, 0.9511924885296665, 0.9264089427107592, 0.7226546003016591]}","{np.int32(0): [0.6591251885369532, 0.8945270415858652, 0.903001508295626, 0.9886877828054299, 0.8474466709760828, 0.9851704359713513, 0.7585812356979407, 0.9654670272519242, 0.9886877828054299, 0.7532859297565179, 0.935532525665353, 0.9732049763632866, 0.9336384439359268, 0.8917576080205839, 0.7585812356979407, 0.7965102974828375, 0.9886877828054299, 0.9463488682964406, 0.7585812356979407, 0.9305296779345222, 0.9798340961098397, 0.790950226244344, 0.9729837902741645, 0.7585812356979407, 0.7585812356979407, 0.9886877828054299, 0.9886877828054299, 0.9633368140155472, 0.9102974828375285, 0.9903953610140749, 0.9886877828054299, 0.9886877828054299, 0.7585812356979404], np.int32(1): [0, 0.7720074522589659, 0.7922937794716103, 0.9778761061946902, 0.6519174041297935, 0.9721244623205408, 0.6817496229260934, 0.9374057315233787, 0.9778761061946902, 0.3667035398230089, 0.866753821399839, 0.946761866452132, 0.8862745098039216, 0.7652943439784532, 0.6817496229260934, 0.7176311820274669, 0.9778761061946902, 0.906009367309677, 0.6817496229260934, 0.8556415929203539, 0.9624700558956615, 0.4889380530973451, 0.9503541563404377, 0.6817496229260934, 0.6817496229260934, 0.9778761061946902, 0.9778761061946901, 0.9264089427107591, 0.852187028657617, 0.9812480927677752, 0.9778761061946902, 0.9778761061946902, 0.6817496229260935]}",
