,Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Balance_Mixed,Cluster_0,Cluster_1,Balances_per_Cluster_gender,Balances_per_Cluster_race,Balances_per_Cluster_marital_status,Balances_per_Cluster_Mixed,Balances_per_Group_per_Cluster_gender,Balances_per_Group_per_Cluster_race,Balances_per_Group_per_Cluster_marital_status,Balances_per_Group_per_Cluster_Mixed,Cluster_-1
0,M&R,2,GroundTruth,5,0.6181529097182494,0.5024102613808924,0.435914912996606,0.33272058823529405,495,1496.0,"[0.4015847860538827, 0.834721033382616]","[0.21169590643274855, 0.7931246163290362]","[0.14203673978954878, 0.7297930862036632]","[0, 0.6654411764705881]","{np.int64(0): [0.4015847860538827, 0.7826887661141806], np.int64(1): [0.834721033382616, 0.9081314878892733]}","{np.int64(0): [0.21169590643274855, 0.8701657458563536, 0.6120772946859904, 0.7313131313131314, 0.955073500394633], np.int64(1): [0.7931246163290362, 0.9506302521008403, 0.8862445105539029, 0.9183548189073051, 0.9844353488054141]}","{np.int64(0): [0.42941874258600243, 0.5504712382190445, 0.837962962962963, 0.14203673978954878, 0.38306878306878306, 0.4772128060263654], np.int64(1): [0.8411877352468577, 0.7297930862036632, 0.9491131142774062, 0.7788860186981184, 0.8304739749927305, 0.8525286867828304]}","{np.int64(0): [0.5746031746031746, 0.4469135802469136, 0.1426319936958235, 0.7458563535911602, 0.5593922651933702, 0.5185477505919495, 0.49723756906077354, 0, 0.7313131313131314, 0, 0, 0, 0.10631424375917768, 0.3094017094017094, 0.12974910394265232, 0, 0.3741602067183462, 0.49723756906077354, 0.49723756906077354, 0, 0.7886710239651417, 0, 0.5876443997990959, 0.6215469613259668, 0.7458563535911602, 0.5410283776996484, 0.7458563535911602, 0.6703703703703704, 0, 0, 0.10584795321637427, 0, 0.20662100456621005, 0.8467836257309942, 0, 0.8287292817679558], np.int64(1): [0.876611418047882, 0.845303867403315, 0.7790055248618784, 0.8872549019607843, 0.7393790849673203, 0.6927880741337631, 0.6654411764705881, 0.7513812154696133, 0.9183548189073051, 0.7513812154696133, 0.7513812154696133, 0.7513812154696132, 0.7717807054823629, 0.8139963167587476, 0.7764272559852671, 0.7513812154696132, 0.8284459555177788, 0.6654411764705881, 0.6654411764705881, 0.7513812154696132, 0.934644926559763, 0.7513812154696133, 0.767816742081448, 0.7985294117647059, 0.8872549019607843, 0.7193019505452312, 0.8872549019607843, 0.901657458563536, 0.7513812154696133, 0.7513812154696133, 0.7716888158877108, 0.7513812154696133, 0.792069728942697, 0.9517495395948433, 0.7513812154696132, 0.9316176470588234]}",
1,M&R,2,DBSCAN,5,1.0,1.0,1.0,1.0,1938,,[1.0],[1.0],[1.0],[1.0],"{np.int64(0): [1.0, 1.0]}","{np.int64(0): [1.0, 1.0, 1.0, 1.0, 1.0]}","{np.int64(0): [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}","{np.int64(0): [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",53.0
2,M&R,2,FairDen_v1,15,0.9315978160897568,0.848926474252325,0.8998155299897637,0.25388931395052283,684,1307.0,"[0.9087659057840058, 0.9544297263955077]","[0.8159216474133602, 0.8819313010912899]","[0.8701379783979521, 0.9294930815815751]","[0, 0.5077786279010457]","{np.int32(0): [0.9087659057840058, 0.9593891196214588], np.int32(1): [0.9544297263955077, 0.9778472253476753]}","{np.int32(0): [0.8159216474133602, 0.8316624895572263, 0.885901347571828, 0.9447513812154696, 0.9854043194374688], np.int32(1): [0.8819313010912899, 0.9190356604721246, 0.9436526870919137, 0.9693955623565418, 0.9922484169850183]}","{np.int32(0): [0.8701379783979521, 0.9316332719138138, 0.9161225514816675, 0.9437967578121333, 0.8778659611992944, 0.8812700631100824], np.int32(1): [0.9363633814092349, 0.9615956587881652, 0.9520849273144606, 0.9714272420667351, 0.9399228345737638, 0.9294930815815751]}","{np.int32(0): [0, 0.8085607537361923, 0.8051200696777404, 0.9702729044834307, 0.9702729044834307, 0.9288464758078019, 0, 0, 0.7558011049723757, 0.6870919136112508, 0.8588648920140634, 0.7463637726795621, 0.9360782646778473, 0.671727395411606, 0.9389737785323523, 0.9702729044834307, 0.9232797589151182, 0.6870919136112508, 0.6870919136112508, 0.772978402812657, 0.9702729044834307, 0.9161225514816677, 0.8956365272154746, 0.9896783625730994, 0.9702729044834307, 0.9201265836122692, 0.515318935208438, 0.9702729044834307, 0.8588648920140634, 0.727704678362573, 0.9192059095106186, 0.8588648920140634, 0.9669500520708163, 0.9192059095106186, 0.9702729044834307, 0.6870919136112507], np.int32(1): [0.6564540431943747, 0.9089363674999035, 0.9074511773569297, 0.984681064791562, 0.9846810647915619, 0.9599102828814288, 0.6564540431943747, 0.6564540431943747, 0.8309104820198929, 0.7616679418515684, 0.9140015302218821, 0.8828175063648487, 0.9676303104228771, 0.853390256152687, 0.9690512066202674, 0.984681064791562, 0.9565132293019697, 0.7616679418515684, 0.7616679418515684, 0.8462977131684095, 0.984681064791562, 0.9520849273144605, 0.9482113957252079, 0.994627338173295, 0.984681064791562, 0.9545707887434801, 0.5077786279010457, 0.984681064791562, 0.9140015302218821, 0.8752720575924996, 0.9594328323610092, 0.9140015302218821, 0.9829978492961918, 0.9594328323610092, 0.984681064791562, 0.7616679418515685]}",
