,Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Balance_Mixed,Cluster_0,Cluster_1,Balances_per_Cluster_gender,Balances_per_Cluster_race,Balances_per_Cluster_marital_status,Balances_per_Cluster_Mixed,Balances_per_Group_per_Cluster_gender,Balances_per_Group_per_Cluster_race,Balances_per_Group_per_Cluster_marital_status,Balances_per_Group_per_Cluster_Mixed,Cluster_-1
0,G&M&R,2,GroundTruth,5,1.0,1.0,1.0,0.33272058823529405,495,1496.0,[1.0],[1.0],[1.0],"[0, 0.6654411764705881]","{np.int64(0): [1.0, 1.0]}","{np.int64(0): [1.0, 1.0, 1.0, 1.0, 1.0]}","{np.int64(0): [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}","{np.int64(0): [0.5746031746031746, 0.4469135802469136, 0.1426319936958235, 0.7458563535911602, 0.5593922651933702, 0.5185477505919495, 0.49723756906077354, 0, 0.7313131313131314, 0, 0, 0, 0.10631424375917768, 0.3094017094017094, 0.12974910394265232, 0, 0.3741602067183462, 0.49723756906077354, 0.49723756906077354, 0, 0.7886710239651417, 0, 0.5876443997990959, 0.6215469613259668, 0.7458563535911602, 0.5410283776996484, 0.7458563535911602, 0.6703703703703704, 0, 0, 0.10584795321637427, 0, 0.20662100456621005, 0.8467836257309942, 0, 0.8287292817679558], np.int64(1): [0.876611418047882, 0.845303867403315, 0.7790055248618784, 0.8872549019607843, 0.7393790849673203, 0.6927880741337631, 0.6654411764705881, 0.7513812154696133, 0.9183548189073051, 0.7513812154696133, 0.7513812154696133, 0.7513812154696132, 0.7717807054823629, 0.8139963167587476, 0.7764272559852671, 0.7513812154696132, 0.8284459555177788, 0.6654411764705881, 0.6654411764705881, 0.7513812154696132, 0.934644926559763, 0.7513812154696133, 0.767816742081448, 0.7985294117647059, 0.8872549019607843, 0.7193019505452312, 0.8872549019607843, 0.901657458563536, 0.7513812154696133, 0.7513812154696133, 0.7716888158877108, 0.7513812154696133, 0.792069728942697, 0.9517495395948433, 0.7513812154696132, 0.9316176470588234]}",
1,G&M&R,2,DBSCAN,5,1.0,1.0,1.0,1.0,1938,,[1.0],[1.0],[1.0],[1.0],"{np.int64(0): [1.0, 1.0]}","{np.int64(0): [1.0, 1.0, 1.0, 1.0, 1.0]}","{np.int64(0): [1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}","{np.int64(0): [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",53.0
2,G&M&R,2,FairDen_v1,15,0.8678595631647278,0.7926002490840369,0.8195989048266713,0.32562814070351764,1296,694.0,"[0.9132060301507537, 0.8225130961787018]","[0.8683417085427136, 0.7168587896253602]","[0.8840725365960237, 0.7551252730573189]","[0.6512562814070353, 0]","{np.int32(0): [0.9132060301507537, 0.9558703294906387], np.int32(1): [0.8225130961787018, 0.9238649387287313]}","{np.int32(0): [0.8889701104613384, 0.8683417085427136, 0.907811786203746, 0.8954773869346735, 0.9846800531151306], np.int32(1): [0.8282663316582916, 0.7168587896253602, 0.8103621100112768, 0.782027770500393, 0.9721867033709878]}","{np.int32(0): [0.8840725365960237, 0.9016942474389283, 0.9194206325746379, 0.9242201897872048, 0.9117587939698492, 0.9369114877589454], np.int32(1): [0.7551252730573189, 0.8448945759726467, 0.8363352545629203, 0.8468829360582104, 0.8192671881432689, 0.8946034520428229]}","{np.int32(0): [0.6512562814070353, 0.837329504666188, 0.8581975297045977, 0.9768844221105528, 0.9768844221105528, 0.9886056147471673, 0.6512562814070353, 0.6512562814070353, 0.9771324354657687, 0.7677469135802468, 0.9212962962962963, 0.8758274129267025, 0.9182309060832111, 0.8466331658291458, 0.9176793056190042, 0.9768844221105528, 0.9641472868217055, 0.7677469135802468, 0.6512562814070353, 0.8530521262002744, 0.9356076155425013, 0.9596836419753085, 0.9407035175879398, 0.9303661162957646, 0.7815075376884422, 0.871116759460986, 0.9768844221105528, 0.9768844221105528, 0.9212962962962963, 0.8683417085427138, 0.9165829145728644, 0.9212962962962963, 0.9276430935163622, 0.9518361035948977, 0.9768844221105528, 0.7677469135802468], np.int32(1): [0, 0.6372078130003201, 0.6914382651705602, 0.9558117195004803, 0.9558117195004804, 0.9791650560494781, 0, 0, 0.9590452261306533, 0.6974874371859298, 0.8718592964824121, 0.7352397842311387, 0.8337036143660577, 0.6617158058080249, 0.8324811750488054, 0.9558117195004803, 0.937248743718593, 0.6974874371859298, 0, 0.7846733668341709, 0.8714753913092614, 0.9299832495812396, 0.8822877410773664, 0.8602305475504323, 0.47790585975024014, 0.8060088964459762, 0.9558117195004803, 0.9558117195004803, 0.8718592964824121, 0.7168587896253601, 0.8300470195662065, 0.8718592964824121, 0.8543385574987171, 0.9055058395267708, 0.9558117195004803, 0.6974874371859296]}",1.0
