,Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Balance_Mixed,Cluster_0,Cluster_1,Balances_per_Cluster_gender,Balances_per_Cluster_race,Balances_per_Cluster_marital_status,Balances_per_Cluster_Mixed,Balances_per_Group_per_Cluster_gender,Balances_per_Group_per_Cluster_race,Balances_per_Group_per_Cluster_marital_status,Balances_per_Group_per_Cluster_Mixed,Cluster_-1
0,G,2,GroundTruth,5,0.6613479848822702,0.5129126284285997,0.4261398813663367,0.26984653976685846,1506,489.0,"[0.8530839293355339, 0.46961204042900656]","[0.7858396920791411, 0.2399855647780585]","[0.7162879426917735, 0.13599182004089982]","[0.5396930795337169, 0]","{np.int64(0): [0.8530839293355339, 0.9079298191847993], np.int64(1): [0.46961204042900656, 0.7790870820081989]}","{np.int64(0): [0.9436090225563909, 0.7858396920791411, 0.8652508464142813, 0.8020676691729324, 0.9865456207955066], np.int64(1): [0.8159509202453988, 0.6025689223057644, 0.5203768624014022, 0.2399855647780585, 0.9602124577498793]}","{np.int64(0): [0.8546520486237621, 0.7162879426917735, 0.8052130325814536, 0.7858628333752313, 0.7809178117708063, 0.8454736842105264], np.int64(1): [0.4762359456685207, 0.5336852770223431, 0.25498466257668717, 0.16080784559580852, 0.13599182004089982, 0.4371165644171779]}","{np.int64(0): [0.7548872180451128, 0.9935258964143426, 0.7548872180451128, 0.7548872180451128, 0.8229508196721311, 0.9935258964143426, 0.880701754385965, 0.6623505976095617, 0.6295609640645339, 0.7548872180451128, 0.7548872180451128, 0.7548872180451128, 0.849248120300752, 0.7548872180451127, 0.7548872180451128, 0.7749792732782526, 0.6623505976095617, 0.7548872180451127, 0.7548872180451128, 0.7548872180451128, 0.7548872180451127, 0.7946181242580135, 0.6623505976095617, 0.7548872180451128, 0.9283072546230442, 0.8279382470119522, 0.5396930795337169, 0.7840068298235628, 0.7548872180451128, 0.7171594128395254, 0.943609022556391, 0.7548872180451128, 0.9634190510684534, 0.8075537681412835, 0.7548872180451127, 0.7901876994644885, 0.7548872180451128, 0.7850827067669173, 0.8429916696848968], np.int64(1): [0, 0.9804511278195488, 0, 0, 0.3374233128834356, 0.9804511278195488, 0.5828220858895706, 0.4902255639097744, 0.46710171655553984, 0, 0, 0, 0.45330606680299934, 0, 0, 0.10577141558736651, 0.4902255639097744, 0, 0, 0, 0, 0.20398773006134974, 0.4902255639097744, 0, 0.7621519584709769, 0.6536340852130326, 0.4136278195488721, 0.6005263157894737, 0, 0.5344508059138673, 0.815950920245399, 0, 0.8987468671679197, 0.2660709522539344, 0, 0.18225707840532962, 0, 0.15691363850873055, 0.6740601503759398]}",
1,G,2,DBSCAN,5,0.6261038601815275,0.49714137214137216,0.4965819757874837,0.4954360850858498,1913,,"[0.9957427776811036, 0.25646494268195147]","[0.9942827442827443, 0]","[0.9931639515749674, 0]","[0.9908721701716996, 0]","{np.int64(0): [0.9957427776811036, 0.9976523035456193], np.int64(1): [0.25646494268195147, 0.7100831600831601]}","{np.int64(0): [0.9942827442827444, 0.9942827442827443, 0.9942827442827443, 0.9942827442827443, 0.9990083564998201], np.int64(1): [0, 0, 0, 0, 0.8529106029106029]}","{np.int64(0): [0.9942827442827442, 0.9931639515749674, 0.9942827442827443, 0.9942827442827443, 0.9942827442827443, 0.9942827442827444], np.int64(1): [0, 0.45686070686070684, 0, 0, 0, 0]}","{np.int64(0): [0.9942827442827443, 0.9942827442827443, 0.9942827442827443, 0.9942827442827443, 0.9942827442827442, 0.9942827442827443, 0.9942827442827443, 0.9942827442827443, 0.9955910384556489, 0.9942827442827443, 0.9942827442827442, 0.9942827442827443, 0.9942827442827443, 0.9942827442827444, 0.9942827442827443, 0.9942827442827444, 0.9942827442827443, 0.9942827442827443, 0.9942827442827443, 0.9942827442827442, 0.9942827442827443, 0.9942827442827444, 0.9942827442827443, 0.9942827442827443, 0.9942827442827443, 0.9942827442827443, 0.9942827442827443, 0.9942827442827443, 0.9942827442827443, 0.9908721701716996, 0.9942827442827443, 0.9942827442827443, 0.9942827442827444, 0.9942827442827443, 0.9942827442827443, 0.9942827442827443, 0.9942827442827443, 0.9942827442827444, 0.9942827442827443], np.int64(1): [0, 0, 0, 0, 0, 0, 0, 0, 0.566008316008316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.38648648648648654, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",71.0
2,G,2,FairDen_v1,15,0.9583737165196815,0.7348574261165141,0.655682042184112,0.0,1335,660.0,"[0.9729606442885456, 0.9437867887508176]","[0.7911434236615995, 0.6785714285714286]","[0.6938202247191011, 0.6175438596491228]","[0, 0]","{np.int32(0): [0.9729606442885456, 0.9851426101987901], np.int32(1): [0.9437867887508176, 0.9708243520765796]}","{np.int32(0): [0.7970037453183522, 0.9181675118027627, 0.8628808864265929, 0.7911434236615995, 0.9825474304660159], np.int32(1): [0.7089151450053705, 0.8197226502311248, 0.6785714285714286, 0.7030075187969925, 0.965901934322987]}","{np.int32(0): [0.9449310088407833, 0.9216167087557492, 0.7471910112359551, 0.8970322087017936, 0.9962546816479402, 0.6938202247191011], np.int32(1): [0.8821188539087371, 0.8631493748535646, 0.6616541353383458, 0.7678168546781685, 0.9924812030075187, 0.6175438596491228]}","{np.int32(0): [0.9962546816479401, 0.6691729323308271, 0.7647690655209451, 0.6691729323308271, 0.9780219780219781, 0.7471910112359551, 0.8516746411483254, 0, 0.902547558126599, 0.6691729323308271, 0.6641697877652933, 0.7471910112359551, 0.9962546816479401, 0.8276612584091808, 0.6691729323308271, 0.9171405671539254, 0.6691729323308271, 0.9368421052631579, 0.49812734082397003, 0.8302122347066166, 0.8364661654135338, 0.7098314606741574, 0.7471910112359551, 0.8030075187969925, 0.9665831244778613, 0.7471910112359551, 0.9033834586466165, 0.9643962848297214, 0.49812734082397003, 0.9117197472304079, 0.5977528089887642, 0.7471910112359551, 0.9201127819548872, 0.8550543024227235, 0.8966292134831462, 0.8891749922752086, 0.8922305764411027, 0.9157103284527107, 0.40755873340143006], np.int32(1): [0.9924812030075189, 0, 0.3778409090909091, 0, 0.9545454545454545, 0.6616541353383458, 0.6477272727272727, 0.3308270676691729, 0.8353383458646617, 0, 0.5954887218045113, 0.6616541353383458, 0.9924812030075189, 0.5788201160541586, 0, 0.8172558922558923, 0, 0.8636363636363636, 0.4962406015037594, 0.7443609022556391, 0.6045454545454546, 0.6301467955603294, 0.6616541353383458, 0.5037878787878788, 0.9300699300699301, 0.6616541353383458, 0.7836700336700337, 0.9253246753246753, 0.4962406015037594, 0.8484881267917997, 0.5513784461152882, 0.6616541353383458, 0.8243801652892562, 0.6571146245059288, 0.8270676691729323, 0.7478912839737581, 0.7556818181818182, 0.8138111888111889, 0.4548872180451128]}",
