,Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Balance_Mixed,Cluster_0,Cluster_1,Balances_per_Cluster_gender,Balances_per_Cluster_race,Balances_per_Cluster_marital_status,Balances_per_Cluster_Mixed,Balances_per_Group_per_Cluster_gender,Balances_per_Group_per_Cluster_race,Balances_per_Group_per_Cluster_marital_status,Balances_per_Group_per_Cluster_Mixed,Cluster_-1
0,R,2,GroundTruth,5,0.6716379765382456,0.5479211900194636,0.4282608245990687,0.22045152722443556,1506,486.0,"[0.8576402383728462, 0.48563571470364514]","[0.8030734206033011, 0.29276895943562614]","[0.7067129711243522, 0.14980867807378528]","[0.4409030544488711, 0]","{np.int64(0): [0.8576402383728462, 0.9226845377870416], np.int64(1): [0.48563571470364514, 0.8067232433383168]}","{np.int64(0): [0.9180292598967298, 0.8030734206033011, 0.8307957103137825, 0.814179796107507, 0.9798132981271396], np.int64(1): [0.7233115468409586, 0.6210295728368017, 0.3688888888888889, 0.29276895943562614, 0.9411287684675353]}","{np.int64(0): [0.837844886037657, 0.7067129711243522, 0.864027538726334, 0.7847048284183776, 0.8680276662204371, 0.8081636892397175], np.int64(1): [0.40027006172839513, 0.5238817502790258, 0.5123456790123456, 0.14980867807378528, 0.5288729589804859, 0.26443647949024296]}","{np.int64(0): [0.7560240963855421, 0.6613545816733067, 0.7560240963855421, 0.8064257028112449, 0.8818061088977422, 0.8417240130387541, 0.7560240963855421, 0.6172642762284196, 0.7560240963855421, 0.7560240963855422, 0.8820281124497992, 0.7560240963855421, 0.8640275387263338, 0.7560240963855422, 0.7831460370630504, 0.7560240963855421, 0.7560240963855421, 0.8032756024096387, 0.7560240963855421, 0.7947945628668519, 0.4409030544488711, 0.9072289156626506, 0.8773612970400119, 0.7936254980079681, 0.6613545816733069, 0.9070005691519636, 0.9450301204819278, 0.7024041763978569, 0.8818061088977422, 0.8505271084337349, 0.9920318725099603, 0.9447922595332955, 0.7840249888442659, 0.7560240963855421, 0.7826787920914426, 0.7560240963855421, 0.9965772179627602, 0.7560240963855421, 0.9240294511378849], np.int64(1): [0, 0.48795180722891557, 0, 0.25617283950617287, 0.7319277108433735, 0.6709337349397589, 0, 0.45745481927710846, 0, 0, 0.5855379188712523, 0, 0.5123456790123457, 0, 0.14194858639303085, 0, 0, 0.24110384894698622, 0, 0.19993977717554956, 0.36596385542168675, 0.6831275720164609, 0.5668505384817442, 0.6099397590361445, 0.4879518072289156, 0.7762869660460021, 0.8197530864197532, 0.5202427356484762, 0.7319277108433735, 0.45541838134430734, 0.9759036144578311, 0.8539156626506023, 0.14638447971781307, 0, 0.13958643886404465, 0, 0.9893571732652192, 0, 0.745230078563412]}",
1,R,2,DBSCAN,5,0.6689125322638616,0.4952203929899097,0.49396926979734207,0.454343163538874,1865,,"[0.9937095674516999, 0.3441154970760234]","[0.9904407859798194, 0]","[0.9879385395946841, 0]","[0.908686327077748, 0]","{np.int64(0): [0.9937095674516999, 0.996981338379856], np.int64(1): [0.3441154970760234, 0.7617498672331386]}","{np.int64(0): [0.9904407859798194, 0.9904407859798194, 0.9956263398331169, 0.9904407859798194, 0.9989839325376526], np.int64(1): [0, 0, 0.544849537037037, 0, 0.9047514916747369]}","{np.int64(0): [0.9904407859798194, 0.9879385395946841, 0.9904407859798194, 0.9904407859798195, 0.9904407859798194, 0.9904407859798193], np.int64(1): [0, 0.4445034519383962, 0, 0, 0, 0]}","{np.int64(0): [0.9904407859798192, 0.9904407859798192, 0.9904407859798194, 0.9904407859798194, 0.9904407859798194, 0.908686327077748, 0.9904407859798192, 0.9976318141197498, 0.9904407859798192, 0.9904407859798194, 0.9904407859798193, 0.9904407859798192, 0.9904407859798192, 0.9904407859798194, 0.9904407859798194, 0.9904407859798192, 0.9904407859798193, 0.9904407859798194, 0.9904407859798192, 0.9904407859798193, 0.9904407859798194, 0.9904407859798194, 0.9904407859798195, 0.9904407859798194, 0.9904407859798194, 0.9904407859798192, 0.9904407859798192, 0.9855403945420351, 0.9904407859798194, 0.9904407859798192, 0.9904407859798194, 0.9904407859798193, 0.9904407859798194, 0.9904407859798193, 0.9904407859798193, 0.9904407859798193, 0.9904407859798194, 0.9904407859798192, 0.9904407859798194], np.int64(1): [0, 0, 0, 0, 0, 0.09559214020180563, 0, 0.8029739776951673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4002920870950611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",109.0
2,R,2,FairDen_v1,15,0.9035487294582827,0.9118303525389684,0.597901771028517,0.0,629,1363.0,"[0.8655279198908974, 0.941569539025668]","[0.884136546184739, 0.9395241588931978]","[0.5593516924842226, 0.6364518495728114]","[0, 0]","{np.int32(0): [0.8655279198908974, 0.9410569911223844], np.int32(1): [0.941569539025668, 0.9710951203276761]}","{np.int32(0): [0.8946619812583669, 0.9048376107199637, 0.9500794912559619, 0.884136546184739, 0.9933136605462439], np.int32(1): [0.9456648396702774, 0.9579317269076305, 0.9774813539873781, 0.9395241588931978, 0.9968936041120264]}","{np.int32(0): [0.9525536565977742, 0.8420348058902275, 0.947289156626506, 0.7222826541711991, 0.7151135955690036, 0.5593516924842226], np.int32(1): [0.978573511924794, 0.913426265590609, 0.9743213499633162, 0.8863978641840088, 0.8838060575635877, 0.6364518495728114]}","{np.int32(0): [0.6315261044176705, 0, 0.947289156626506, 0.8164745627980923, 0.947289156626506, 0.8637086284145107, 0.6315261044176705, 0.8119621342512909, 0.6315261044176705, 0, 0.7367804551539492, 0, 0, 0.647781471310883, 0.6306443953502777, 0.6315261044176705, 0.9048376107199637, 0.5588702889740952, 0.8420348058902276, 0.5394285475234271, 0, 0.947289156626506, 0.8729919678714858, 0.5262717536813922, 0.8037604965315809, 0.6907316767068272, 0.5262717536813922, 0.8606323791406225, 0.947289156626506, 0.947289156626506, 0.7917329093799683, 0.9048376107199637, 0.7917329093799682, 0.45241880535998186, 0.8137935786815773, 0.9048376107199637, 0.6552272353489391, 0.31576305220883527, 0.5788989290495316], np.int32(1): [0.7307410124724872, 0.6842369477911645, 0.9743213499633162, 0.9219192559712533, 0.9743213499633162, 0.9408258032128514, 0.7307410124724872, 0.8931279041330398, 0.7307410124724872, 0.6842369477911647, 0.8351325856828425, 0.6842369477911645, 0.6842369477911645, 0.8601835915088928, 0.8543715402149137, 0.7307410124724872, 0.9579317269076305, 0.8308591508892714, 0.913426265590609, 0.6059803518064527, 0.6842369477911647, 0.9743213499633162, 0.9328608669861539, 0.5845928099779898, 0.8873283722880201, 0.7933759563987004, 0.5845928099779898, 0.9252693095858527, 0.9743213499633162, 0.9743213499633162, 0.9123159303882195, 0.9579317269076305, 0.9123159303882196, 0.798276439089692, 0.9208688922356091, 0.9579317269076305, 0.8627335428671207, 0, 0.6643100113386247]}",
