Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Balance_Mixed,Cluster_0,Cluster_1,Cluster_2
G&M,5,GroundTruth,10,0.5941090269742648,0.49362918724884447,0.49866144975288296,-1,144,4843,
G&M,5,DBSCAN,10,0.5941090269742648,0.49362918724884447,0.49866144975288296,-1,144,4843,
G&M,5,FairDen_v1,15,0.5744352850026491,0.5647415002698791,0.2289570142449704,-1,51,933,1214.0
