Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Balance_Mixed,Cluster_0,Cluster_1,Cluster_2
G&R,5,GroundTruth,10,0.7188549301411381,0.49528963720184405,0.49528963720184405,-1,11,4942,
G&R,5,DBSCAN,10,0.7188549301411381,0.49528963720184405,0.49528963720184405,-1,11,4942,
G&R,5,FairDen_v1,15,0.6770675191145882,0.29784007959636566,0.334020696289169,-1,8,2524,43.0
