Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Balance_Mixed,Cluster_0,Cluster_1,Cluster_2
R,5,GroundTruth,10,0.5584801545039756,0.49743534943363965,0.4974353494336396,-1,321,4655,
R,5,DBSCAN,10,0.5584801545039756,0.49743534943363965,0.4974353494336396,-1,321,4655,
R,5,FairDen_v1,15,0.7095126249725403,0.3197246075220222,0.3511033089832533,-1,48,2821,28.0
