Setting,Degree,Algorithm,min_pts,Balance_gender,Balance_race,Balance_marital_status,Balance_Mixed,Cluster_0,Cluster_1,Cluster_2
G,5,GroundTruth,7,0.6170140733193978,0.4965958324736951,0.4957998136747618,-1,153,4814,
G,5,DBSCAN,7,0.6170140733193978,0.4965958324736951,0.4957998136747618,-1,153,4814,
G,5,FairDen_v1,15,0.49878072608260327,0.4605705169241306,0.2785865766300904,-1,45,1715,16.0
