minPts,epsilon,n_clusters,DCSI,Balance,Noise%
10,2.8,2,0.9913,0.4488,0.0
10,3.0,2,0.9913,0.4488,0.0
10,3.25,2,0.9913,0.4488,0.0
10,3.5,2,0.9913,0.4488,0.0
10,3.75,2,0.9913,0.4488,0.0
15,0.01,0,0.0,0.0,100.0
15,0.05,0,0.0,0.0,100.0
15,0.1,11,0.945,0.0355,94.16
15,0.2,15,0.8973,0.1136,72.24
15,0.3,17,0.8982,0.1325,50.16
15,0.4,2,0.8833,0.4981,19.32
15,0.5,3,0.5797,0.3217,11.1
15,0.6,2,0.42,0.4978,6.72
15,0.7,1,0.0,1.0,4.26
15,0.8,2,0.9913,0.498,2.5
15,0.9,2,0.9913,0.497,1.54
15,1.0,2,0.9913,0.4476,1.12
15,1.1,2,0.9913,0.4478,0.9
15,1.2,2,0.9913,0.4481,0.54
15,1.3,2,0.9913,0.4484,0.26
15,1.4,2,0.9913,0.4487,0.12
15,1.5,2,0.9913,0.4488,0.06
15,1.6,2,0.9913,0.4488,0.06
15,1.7,2,0.9913,0.4488,0.04
15,1.8,2,0.9913,0.4488,0.0
15,1.9,2,0.9913,0.4488,0.0
15,2.0,2,0.9913,0.4488,0.0
15,2.1,2,0.9913,0.4488,0.0
15,2.2,2,0.9913,0.4488,0.0
15,2.3,2,0.9913,0.4488,0.0
15,2.4,2,0.9913,0.4488,0.0
15,2.5,2,0.9913,0.4488,0.0
15,2.6,2,0.9913,0.4488,0.0
15,2.8,2,0.9913,0.4488,0.0
15,3.0,2,0.9913,0.4488,0.0
15,3.25,2,0.9913,0.4488,0.0
15,3.5,2,0.9913,0.4488,0.0
15,3.75,2,0.9913,0.4488,0.0
